hotel.id: Descending,includes_weekend: Descending,is_cardless: Descending,is_prepaid: Descending,checkin_date: Descending,nights: Descending,number_of_rooms: Descending,hotel.stars: Descending,hotel.type.keyword: Descending,customer.country_code.keyword: Descending,hotel.country_en.keyword: Descending,hotel.city_en.keyword: Descending,customer.platform.keyword: Descending,created_at per day,cancelled: Descending
45388,0,0,0,"January 26, 2017",1,1,3,Apart Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"January 23, 2017",0
14552,1,0,0,"November 2, 2017",7,1,5,Hotel,SA,Egypt,Cairo,iPhoneApp,"October 30, 2017",0
729980,1,0,0,"April 1, 2017",5,2,2,Others,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"March 26, 2017",0
460856,1,0,0,"March 10, 2017",15,1,3,Hotel,DZ,Portugal,Lisbon,Chrome,"January 23, 2017",1
822750,0,0,0,"November 9, 2017",1,1,4,Hotel,SA,Saudi Arabia,Gizan,iPhoneApp,"November 6, 2017",0
822782,1,1,0,"August 19, 2017",2,1,0,Suite,SA,Saudi Arabia,Riyadh,Chrome,"August 14, 2017",0
14908,0,0,0,"July 10, 2017",3,1,5,Hotel,SA,Saudi Arabia,Al Khobar,iPhoneApp,"July 3, 2017",0
35978,0,0,0,"June 11, 2017",1,1,5,Hotel,SA,Saudi Arabia,Riyadh,iPhoneApp,"June 5, 2017",0
31372,1,0,0,"November 17, 2017",1,1,4,Hotel,EG,Saudi Arabia,Makkah (Mecca),iPhoneApp,"November 13, 2017",1
822458,1,1,0,"March 25, 2017",1,1,0,Hotel,KW,Saudi Arabia,Madinah,iPhoneApp,"March 20, 2017",1
298822,0,0,0,"October 22, 2017",5,1,5,Hotel,TR,Turkey,Istanbul,AndroidApp,"October 16, 2017",1
309204,1,0,1,"March 2, 2017",3,1,5,Hotel,SA,Malaysia,Kuala Lumpur,Chrome,"February 27, 2017",0
805586,1,0,0,"July 21, 2017",1,1,4,Others,SA,Saudi Arabia,Jeddah,iPhoneApp,"July 17, 2017",0
14964,0,0,1,"April 3, 2017",3,2,5,Hotel,SA,Qatar,Doha,Chrome,"April 3, 2017",0
302462,0,0,1,"November 14, 2017",1,1,5,Hotel,QA,Qatar,Doha,iPhoneApp,"November 13, 2017",0
337130,1,0,0,"May 16, 2017",4,1,2,Hotel,PS,Singapore,Singapore,Chrome,"April 17, 2017",1
43938,1,0,0,"October 5, 2017",2,1,4,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"September 25, 2017",0
744520,0,0,0,"December 4, 2017",1,1,5,Hotel,AE,Jordan,Amman,AndroidApp,"December 4, 2017",0
621754,1,0,0,"March 1, 2017",5,1,3,Hotel,SA,United Arab Emirates,Dubai,AndroidOS,"February 27, 2017",0
822620,1,1,0,"February 1, 2017",4,1,0,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"January 30, 2017",0
1050534,1,0,0,"July 3, 2017",7,1,0,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"June 26, 2017",1
40072,0,0,1,"February 12, 2017",2,1,5,All Inclusive,US,Morocco,Marrakech,Firefox,"February 6, 2017",1
15042,0,0,1,"July 27, 2017",1,1,5,Hotel,SA,Bahrain,Manama,iPhoneApp,"July 24, 2017",0
403946,1,0,1,"November 5, 2017",9,1,3,Hotel,EG,Germany,Berlin,iPhoneApp,"October 16, 2017",0
15148,1,0,0,"February 3, 2017",3,1,4,Hotel,SA,United Arab Emirates,Dubai,Chrome,"January 30, 2017",0
44180,1,0,0,"February 4, 2017",1,1,4,Hotel,JO,United Arab Emirates,Abu Dhabi,Chrome,"January 30, 2017",0
25816,0,0,0,"October 8, 2017",4,1,3,Hotel,AE,United Arab Emirates,Dubai,iPhoneApp,"October 2, 2017",0
1019820,1,0,0,"November 16, 2017",3,1,3,Apart Hotel,SA,Saudi Arabia,Riyadh,Chrome,"November 13, 2017",0
309988,0,0,0,"July 10, 2017",3,1,3,Inn,SA,Sri Lanka,Nuwara Eliya,iPhoneApp,"July 3, 2017",1
28654,1,0,0,"March 27, 2017",5,1,3,Hotel,SA,Saudi Arabia,Al Khobar,Chrome,"March 20, 2017",1
544482,1,0,0,"August 31, 2017",2,1,3,Hotel,GB,United Kingdom,London,iPhoneApp,"August 28, 2017",1
23270,0,0,0,"January 2, 2018",2,1,5,Hotel,SA,Egypt,Giza,iPhoneApp,"December 25, 2017",0
42314,0,0,0,"May 31, 2017",2,3,5,Hotel,SA,Saudi Arabia,Madinah,iOS,"May 29, 2017",0
15002,0,0,0,"October 19, 2017",1,1,3,Hotel,QA,Qatar,Doha,AndroidApp,"October 16, 2017",0
822976,0,0,0,"December 11, 2017",1,1,4,Hotel,SA,Saudi Arabia,Riyadh,iPhoneApp,"December 11, 2017",0
500500,1,0,0,"December 1, 2017",9,3,4,Hotel,LY,Germany,Hamburg,Chrome,"October 30, 2017",1
1006488,1,0,0,"September 8, 2017",1,1,2,Apart Hotel,SA,Saudi Arabia,Al Baha,Chrome,"September 4, 2017",1
30946,0,1,0,"April 6, 2017",1,1,4,Hotel,SA,Saudi Arabia,Makkah (Mecca),AndroidApp,"April 3, 2017",0
55496,1,0,0,"May 26, 2017",1,1,4,Inn,SA,Qatar,Doha,Chrome,"May 22, 2017",0
1086454,0,1,0,"December 26, 2017",1,1,0,Hotel,SA,Saudi Arabia,Madinah,iPhoneApp,"December 25, 2017",0
374200,0,0,0,"April 3, 2017",2,1,5,Hotel,IL,Turkey,Serik,iPhoneApp,"March 26, 2017",0
14924,1,1,0,"September 2, 2017",4,3,5,Hotel,SA,Saudi Arabia,Al Khobar,iPhoneApp,"August 28, 2017",1
15114,1,0,0,"November 7, 2017",4,1,5,Others,SA,Egypt,Cairo,iPhoneApp,"November 6, 2017",0
30946,1,1,0,"May 17, 2017",3,1,4,Hotel,AE,Saudi Arabia,Makkah (Mecca),Chrome,"May 15, 2017",0
17704,1,0,0,"July 7, 2017",2,1,4,Hotel,IL,Jordan,Amman,iPhoneApp,"July 3, 2017",0
279388,0,0,0,"November 14, 2017",2,2,3,Hotel,MY,Malaysia,Langkawi,AndroidApp,"November 13, 2017",0
14252,0,0,1,"December 17, 2017",3,1,5,Hotel,BH,Egypt,Cairo,AndroidApp,"December 11, 2017",0
583686,0,0,0,"February 9, 2017",1,1,4,Hotel,SA,Qatar,Doha,iPhoneApp,"February 6, 2017",0
719010,0,0,0,"September 6, 2017",2,1,3,Others,SA,Bahrain,Manama,iPhoneApp,"September 4, 2017",0
822966,1,0,0,"August 7, 2017",7,1,3,Hotel,BH,Lebanon,Beirut,AndroidApp,"July 10, 2017",0
17952,1,0,0,"August 31, 2017",3,1,4,Hotel,SA,Bahrain,Manama,iPhoneApp,"August 14, 2017",0
814206,1,0,0,"August 3, 2017",6,1,0,Hostel/BackPacker Accommodation,TR,Turkey,Marmaris,iPhoneApp,"July 31, 2017",0
822952,1,0,0,"September 1, 2017",1,1,4,Apart Hotel,QA,Qatar,Doha,iPhoneApp,"August 28, 2017",0
22910,1,0,0,"June 22, 2017",5,2,4,Hotel,SA,Bahrain,Manama,Chrome,"June 5, 2017",0
15134,0,0,0,"July 4, 2017",2,2,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"July 3, 2017",0
24838,0,0,0,"June 26, 2017",1,1,4,Apart Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"June 19, 2017",0
40508,1,0,0,"September 23, 2017",1,1,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),Chrome,"September 18, 2017",0
30946,0,1,0,"April 23, 2017",1,1,4,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"April 17, 2017",1
822932,1,1,0,"June 10, 2017",3,1,0,Apart Hotel,SA,Saudi Arabia,Jeddah,AndroidApp,"May 29, 2017",1
822646,1,1,0,"December 14, 2017",2,2,3,Bed and Breakfast,PS,Jordan,Amman,iPhoneApp,"December 11, 2017",1
443500,0,0,0,"March 26, 2017",4,1,4,Apart Hotel,KW,United Arab Emirates,Dubai,AndroidApp,"January 16, 2017",0
14818,0,0,1,"October 16, 2017",2,1,4,Hotel,IL,Egypt,Sharm el Sheikh,Chrome,"October 9, 2017",0
19484,0,1,0,"February 1, 2017",1,1,3,Hotel,SA,Saudi Arabia,Al Khobar,AndroidApp,"January 30, 2017",0
13040,1,0,0,"June 29, 2017",15,1,5,Hotel,SA,Egypt,Sharm el Sheikh,iPhoneApp,"May 1, 2017",0
15152,0,0,0,"May 29, 2017",2,1,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),AndroidApp,"May 8, 2017",0
21868,0,0,0,"October 24, 2017",3,1,5,Hotel,SA,Jordan,Amman,iOS,"October 16, 2017",0
24560,1,0,0,"June 27, 2017",8,1,4,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"June 26, 2017",0
57436,1,0,0,"September 15, 2017",1,1,0,Suite,SA,Saudi Arabia,Abha,iPhoneApp,"September 11, 2017",0
55310,0,0,0,"February 20, 2017",3,1,4,Suite,FR,Saudi Arabia,Riyadh,Edge,"February 13, 2017",0
13018,0,0,1,"October 25, 2017",1,1,3,Hotel,SA,Jordan,Amman,iPhoneApp,"October 23, 2017",0
341652,1,0,0,"June 24, 2017",2,1,4,Hotel,SA,United Arab Emirates,Dubai,Chrome,"June 12, 2017",1
42114,0,0,0,"January 15, 2017",4,1,3,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"January 9, 2017",0
230740,0,0,0,"September 3, 2017",1,1,2,Hotel,MA,Morocco,Tangier,AndroidApp,"August 28, 2017",1
637798,1,0,0,"January 21, 2017",1,1,3,Hotel,LY,Tunisia,Tunis,Firefox,"January 16, 2017",0
263752,0,0,0,"March 14, 2017",3,1,3,Hotel,IL,Turkey,Istanbul,iPhoneApp,"February 27, 2017",0
720040,1,0,0,"August 25, 2017",1,1,4,Others,SA,Saudi Arabia,Riyadh,iPhoneApp,"August 21, 2017",0
765302,0,0,0,"June 11, 2017",1,1,5,Hotel,SA,Kuwait,Salmiyah,iPhoneApp,"June 5, 2017",0
14338,1,0,0,"November 15, 2017",7,1,5,Hotel,SA,Egypt,Cairo,iPhoneApp,"November 6, 2017",1
44180,0,0,0,"April 5, 2017",2,1,4,Hotel,SA,United Arab Emirates,Abu Dhabi,iPhoneApp,"March 26, 2017",1
999484,0,0,0,"October 30, 2017",3,1,3,Hotel,SA,Saudi Arabia,Makkah (Mecca),AndroidApp,"October 16, 2017",0
822658,0,0,0,"January 31, 2017",3,1,0,Apartment,SA,Kuwait,Salmiyah,Chrome,"January 2, 2017",0
14934,0,0,0,"August 15, 2017",2,1,4,Hotel,SA,Saudi Arabia,Al Khobar,iPhoneApp,"July 10, 2017",1
34002,1,0,0,"September 1, 2017",3,1,5,Hotel,SA,Bahrain,Manama,iPhoneApp,"July 31, 2017",1
20784,0,0,0,"October 15, 2017",1,1,2,Hotel,IL,Jordan,Amman,Chrome,"October 9, 2017",0
31742,1,0,0,"August 18, 2017",1,1,4,Hotel,SA,Saudi Arabia,Al Khobar,AndroidApp,"August 14, 2017",1
15138,0,0,0,"March 21, 2017",1,1,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),AndroidApp,"March 20, 2017",0
273302,0,0,0,"February 12, 2017",1,1,4,Hotel,AE,United Arab Emirates,Dubai,iPhoneApp,"February 6, 2017",0
14632,1,0,1,"January 27, 2017",2,1,4,Hotel,SA,Saudi Arabia,Dammam,Chrome,"January 23, 2017",0
14862,1,0,0,"October 6, 2017",1,1,5,Hotel,LB,Lebanon,Beirut,AndroidOS,"October 2, 2017",0
30926,1,0,0,"January 28, 2017",2,2,2,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"January 9, 2017",0
775834,1,0,1,"March 8, 2017",3,1,3,Others,PS,Thailand,Koh Tao,Chrome,"January 16, 2017",0
21026,1,1,0,"March 31, 2017",7,1,4,Hotel,SA,Qatar,Doha,iPhoneApp,"February 20, 2017",0
301572,1,0,1,"August 24, 2017",3,2,5,Hotel,KW,Turkey,Istanbul,iPhoneApp,"August 7, 2017",0
822888,0,0,0,"March 1, 2017",1,1,0,Apartment,EG,Egypt,Alexandria,iPhoneApp,"February 13, 2017",1
252336,1,0,0,"July 29, 2017",4,1,4,Hotel,AE,Spain,Barcelona,iPhoneApp,"July 17, 2017",1
24320,1,0,0,"September 2, 2017",1,3,5,Hotel,AE,United Arab Emirates,Dubai,iPhoneApp,"August 21, 2017",0
250472,1,0,0,"August 19, 2017",21,1,3,Hotel,MA,France,Marseille,Chrome,"August 14, 2017",1
26348,0,0,0,"April 27, 2017",1,1,5,Hotel,IL,Palestine,Ramallah and Al-Bireh,iPhoneApp,"April 24, 2017",0
25948,1,0,1,"July 14, 2017",1,1,3,Hotel,KZ,United Arab Emirates,Dubai,Chrome,"July 10, 2017",0
42598,1,0,0,"September 16, 2017",1,1,3,Hotel,SA,Kuwait,Kuwait City,iPhoneApp,"September 11, 2017",0
15042,1,0,0,"July 14, 2017",1,1,5,Hotel,SA,Bahrain,Manama,iPhoneApp,"July 10, 2017",0
661350,1,0,1,"July 22, 2017",6,1,4,Hotel,SA,United Arab Emirates,Sharjah,iPhoneApp,"July 10, 2017",0
444348,1,0,0,"October 7, 2017",7,1,0,Hostel/BackPacker Accommodation,AE,Turkey,Istanbul,iPhoneApp,"October 2, 2017",0
397908,1,0,0,"August 1, 2017",5,2,4,Hotel Resort,SA,Egypt,Sharm el Sheikh,AndroidApp,"July 17, 2017",1
241944,1,0,0,"September 20, 2017",10,1,3,Hotel,JO,Netherlands,Zaandam,UNKNOWN,"May 22, 2017",1
24560,1,0,0,"August 19, 2017",3,1,4,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"August 14, 2017",0
15150,0,0,0,"May 24, 2017",1,2,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),Chrome,"May 22, 2017",1
421356,1,0,0,"January 19, 2017",2,1,3,Hotel,EG,Egypt,Giza,Chrome,"January 16, 2017",0
17316,1,0,0,"November 10, 2017",1,1,4,Hotel,SA,Turkey,Istanbul,iPhoneApp,"November 6, 2017",0
685808,1,0,0,"March 3, 2017",1,1,4,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"February 6, 2017",0
1044882,1,0,0,"August 25, 2017",5,1,4,Hotel,SA,Saudi Arabia,Jeddah,AndroidApp,"August 21, 2017",0
317804,1,0,0,"June 29, 2017",2,1,0,Hotel,TR,Turkey,Istanbul,Chrome,"May 22, 2017",0
16162,0,0,0,"August 29, 2017",1,1,5,Hotel Resort,SA,United Arab Emirates,Jebel Dhanna,AndroidApp,"August 21, 2017",1
15154,0,0,0,"June 14, 2017",1,1,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),Chrome,"June 12, 2017",0
24122,0,0,0,"March 13, 2017",4,1,3,Hotel,SA,United Arab Emirates,Sharjah,Chrome,"March 13, 2017",1
822716,1,1,0,"April 29, 2017",7,1,0,Hotel,SA,Saudi Arabia,Madinah,Chrome,"April 24, 2017",0
19484,1,1,0,"April 1, 2017",5,1,3,Hotel,SA,Saudi Arabia,Al Khobar,AndroidApp,"February 27, 2017",1
822752,0,0,0,"September 25, 2017",1,1,4,Hotel,SA,Saudi Arabia,Khafji,Chrome,"September 25, 2017",0
1060834,0,0,0,"July 17, 2017",2,1,3,Hotel,SA,Saudi Arabia,Makkah (Mecca),AndroidApp,"July 10, 2017",0
448556,1,0,0,"January 24, 2017",7,1,4,Hotel,SA,Egypt,Sharm el Sheikh,AndroidApp,"January 2, 2017",0
744526,0,0,0,"February 22, 2017",2,1,4,Hotel,IL,Jordan,Amman,iPhoneApp,"February 13, 2017",0
34576,0,0,0,"November 19, 2017",1,1,3,Hotel,SA,Saudi Arabia,Riyadh,iPhoneApp,"November 13, 2017",0
19484,0,1,0,"February 1, 2017",2,1,3,Hotel,SA,Saudi Arabia,Al Khobar,Chrome,"January 16, 2017",1
874352,0,1,0,"June 19, 2017",1,1,4,Apart Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"June 19, 2017",0
31722,0,1,0,"June 28, 2017",1,1,4,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"June 26, 2017",1
433914,0,0,0,"December 19, 2017",2,2,5,Hotel,SA,Turkey,Istanbul,iPhoneApp,"December 18, 2017",0
822806,0,0,0,"August 21, 2017",1,1,4,Apart Hotel,SA,Saudi Arabia,Riyadh,iPhoneApp,"August 14, 2017",1
711688,0,0,0,"April 2, 2017",5,1,4,Others,SA,United Arab Emirates,Dubai,Chrome,"March 26, 2017",0
822458,1,1,0,"April 1, 2017",1,1,0,Hotel,SA,Saudi Arabia,Madinah,AndroidApp,"March 26, 2017",0
24488,1,0,0,"August 30, 2017",3,1,4,Apart Hotel,SA,United Arab Emirates,Dubai,AndroidApp,"August 28, 2017",1
26348,1,0,0,"May 4, 2017",2,2,5,Hotel,IL,Palestine,Ramallah and Al-Bireh,Chrome,"May 1, 2017",0
625086,1,0,0,"July 27, 2017",2,1,3,Hotel,SA,United Arab Emirates,Sharjah,iPhoneApp,"July 24, 2017",0
200250,1,0,0,"April 22, 2017",8,1,4,Hotel,KW,United Kingdom,London,iPhoneApp,"April 17, 2017",1
732814,0,0,0,"January 26, 2017",1,1,0,Others,AE,United Arab Emirates,Dubai,iPhoneApp,"January 23, 2017",1
807056,1,0,0,"January 22, 2017",7,2,3,Others,SA,Saudi Arabia,Madinah,iPhoneApp,"January 9, 2017",0
822670,0,1,0,"February 12, 2017",2,1,0,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"February 6, 2017",1
14970,1,0,0,"December 15, 2017",1,1,5,Hotel,QA,Qatar,Doha,Chrome,"December 11, 2017",0
1078376,0,0,0,"November 26, 2017",1,1,3,Hotel,OM,Morocco,Rabat,AndroidApp,"November 20, 2017",0
253124,1,0,0,"July 8, 2017",4,1,3,Hotel,SA,Turkey,Antalya,Chrome,"February 20, 2017",1
874318,0,1,0,"July 16, 2017",1,1,0,Apartment,SA,Saudi Arabia,Madinah,AndroidApp,"July 10, 2017",0
220268,0,0,1,"December 3, 2017",3,21,5,Hotel,PS,Malaysia,Kuala Lumpur,Chrome,"December 11, 2017",0
323076,1,0,0,"August 14, 2017",6,3,4,Hotel,LY,Turkey,Istanbul,iPhoneApp,"July 31, 2017",1
291882,0,0,0,"August 2, 2017",2,1,4,Hotel,KW,United Arab Emirates,Dubai,iPhoneApp,"July 17, 2017",1
57556,1,0,0,"December 16, 2017",1,1,0,Hotel,SA,Saudi Arabia,Riyadh,iPhoneApp,"December 11, 2017",0
42352,0,0,1,"January 15, 2018",3,1,4,Hotel,SA,Saudi Arabia,Madinah,Chrome,"December 4, 2017",0
219066,1,0,1,"August 13, 2017",6,2,4,Hotel,KW,Greece,Athens,AndroidApp,"July 31, 2017",0
15116,0,0,0,"August 15, 2017",1,1,5,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"August 7, 2017",1
460856,1,0,0,"March 10, 2017",15,1,3,Hotel,DZ,Portugal,Lisbon,Chrome,"January 16, 2017",1
34896,1,1,0,"September 15, 2017",2,1,4,Hotel,SA,Saudi Arabia,Jeddah,AndroidApp,"July 24, 2017",1
23832,0,0,0,"July 9, 2017",3,1,3,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"July 3, 2017",0
685808,0,0,0,"April 4, 2017",2,1,4,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"March 13, 2017",1
43440,1,1,0,"May 27, 2017",10,1,0,Apartment,SA,Saudi Arabia,Jeddah,Chrome,"May 22, 2017",0
273388,0,0,0,"August 2, 2017",2,2,4,Hotel,KW,Germany,Munich,AndroidApp,"July 31, 2017",0
19716,1,0,0,"July 8, 2017",1,1,5,Hotel,AE,United Arab Emirates,Dubai,iPhoneApp,"July 3, 2017",1
17332,1,0,0,"January 17, 2017",7,1,4,Hotel,JO,Turkey,Istanbul,AndroidApp,"January 2, 2017",0
15934,1,0,1,"October 14, 2017",3,1,5,Hotel Resort,SA,Kuwait,Salmiyah,iPhoneApp,"October 9, 2017",0
23866,0,0,0,"June 8, 2017",1,1,2,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"June 5, 2017",0
246856,1,0,0,"December 28, 2017",4,2,2,Hotel,SA,Thailand,Koh Samui,iPhoneApp,"November 20, 2017",0
